,SOI,window_size,up_z,low_z,1000_today,inc_per_share,avg_p_change,days_per_hold,trades_per_year,earnings_per_year
442,geo,276.0,3.04,3.02,2604.87711011,19.0613656418,1.60487711011,129.6,2.00625,2.25163828452
691,nvda,106.0,3.22,2.74,6877.35576797,90.5355247691,4.56915555336,506.2,0.562787568296,2.14966702198
326,nbr,278.0,3.16,2.6,2922.17578238,10.5260641453,1.92217578238,219.4,1.18505603985,2.13445519258
605,phm,128.0,2.72,3.18,3471.1826422,12.7384332368,2.4711826422,339.8,0.804876763573,1.98953468925
401,exp,162.0,2.7,3.3,3716.26581684,47.76197024,2.71626581684,421.9,0.700298290304,1.72217431712
806,evhc,264.0,3.0,2.8,2752.36220472,44.51,1.75236220472,281.0,0.925266903915,1.67297754164
16,clgx,200.0,3.0,3.26,2801.11234705,16.192,1.80111234705,298.0,0.979651837521,1.63827013107
458,x,286.0,2.6,2.0,2517.19437668,16.9813991361,1.51719437668,238.1,1.11684887455,1.56891382128
737,algn,180.0,3.12,2.74,6527.19427164,102.8255,1.88404847137,345.6,0.791331528176,1.54449236775
796,z,112.0,3.26,2.26,2672.55412914,27.505,1.67255412914,313.5,0.829348202112,1.49856552197
812,lyb,192.0,2.6,2.9,2486.30978851,25.9118278919,1.48630978851,195.6,2.59440254995,1.46205445088
306,aos,212.0,2.82,3.32,3404.06527851,17.0116864449,2.40406527851,515.2,0.504658688944,1.42041108932
674,crus,184.0,3.26,2.46,2721.6500781,29.548,1.7216500781,348.8,1.2611681465,1.40370328329
397,uri,128.0,2.82,2.96,4457.87966017,55.809,1.83120450182,356.8,0.93868450045,1.39131813795
138,nflx,268.0,2.98,2.14,2723.61010515,20.8065714286,1.44098061506,280.0,0.934050271758,1.3841246143
405,tpx,204.0,2.6,2.96,2236.26619026,27.68,1.23626619026,201.0,1.29353233831,1.38131667365
765,pbh,244.0,2.6,2.24,1953.57142857,8.01,0.953571428571,58.0,4.48275862069,1.3739847768
180,mas,212.0,2.68,2.62,2620.89871859,9.85915135938,1.62089871859,344.2,0.766310803083,1.37148099001
354,abmd,294.0,2.74,2.2,2822.1697774,22.777,1.8221697774,370.9,0.825392926756,1.36128842276
49,tcbi,270.0,3.02,3.28,2227.59643917,41.37,1.22759643917,212.8,1.22181429811,1.33911466867
547,bby,181.0,2.52,3.14,3297.63104885,22.5977696412,1.0588250158,133.2,2.133751762,1.32685131546
545,cgnx,90.0,3.22,3.22,3044.69155287,70.6439412001,2.04469155287,502.0,0.517928286853,1.28905875379
