,SOI,window_size,up_z,low_z,1000_today,inc_per_share,avg_p_change,days_per_hold,trades_per_year,earnings_per_year
406,stx_adj,120.0,2.36,3.32,2315.57138961,24.1189719,1.31557138961,177.0,1.51752454993,1.55377882257
40,apc_adj,264.0,1.98,3.14,2160.61998558,37.7422413,1.16061998558,225.6,1.15300329718,1.23288232773
437,ual_adj,276.0,2.96,2.86,1962.72843179,36.3429983,0.962728431788,114.5,2.27272491574,1.23127026773
231,incy_adj,272.0,3.1,2.24,2231.76347535,82.3500054,1.23176347535,277.0,0.938923979987,1.1969561437
1,aal_adj,224.0,2.3,3.24,2008.58004516,24.0350592,0.918155643341,105.2,3.10647307925,1.17844293103
318,nfx_adj,240.0,1.9,2.8,1892.50272994,20.9780001,0.892502729943,115.3,2.41085091801,1.12332461558
166,expe_adj,92.0,3.1,3.28,2683.98888188,76.9289164,1.68398888188,508.8,0.511009372768,1.10587407804
429,tsla_adj,142.0,2.26,3.22,1856.97685057,126.8240084,0.856976850566,91.0,5.37627118644,1.10175464135
317,nflx_adj,192.0,3.18,1.92,2353.18442582,61.9314297,1.35318442582,349.8,1.33188561034,1.10078951781
272,lrcx_adj,197.0,2.6,3.06,2327.00526749,81.0764714,1.32700526749,396.0,0.656578217528,1.06663662786
144,ea_adj,88.0,3.18,2.28,3704.70423962,60.3539987,1.59234933889,450.7,0.636657844019,1.05207069895
409,swks_adj,45.0,3.14,2.18,3961.57920019,67.9192327,2.1391860992,611.1,0.618520354872,1.04485381919
118,cxo_adj,276.0,2.16,3.2,1838.14126192,60.7820018,0.83814126192,129.4,2.04882154882,1.01325259118
88,chtr_adj,112.0,3.06,3.08,2089.57010098,173.0359924,1.08957010098,321.8,0.893839239388,0.992202894762
453,vmc_adj,104.0,3.22,3.32,2487.54135981,81.057167,1.48754135981,525.0,0.495238095238,0.987747994463
204,hal_adj,286.0,2.3,2.78,1889.21734481,24.963246,0.889217344812,220.0,1.18189990151,0.940750684821
212,hes_adj,222.0,2.06,2.98,1863.78475759,29.7985689,0.863784757587,227.9,1.14086206744,0.902352803837
93,cma_adj,278.0,3.12,3.38,1835.68059137,27.0067232,0.835680591367,208.0,1.25071867042,0.895936423625
218,hpq_adj,170.0,2.56,2.92,1913.73118808,8.338889,0.91373118808,276.0,0.942028985507,0.894033164909
58,bby_adj,276.0,3.3,2.7,1816.78199232,20.3977568,0.816781992311,213.6,1.21724563569,0.868232533198
228,idxx_adj,112.0,3.36,2.58,2364.96790945,80.157508,1.36496790945,581.6,0.45047498001,0.86716109871
295,mlm_adj,174.0,2.94,3.08,2300.29136139,129.4726146,0.990924620065,371.0,1.07507154465,0.836777373578
251,klac_adj,280.0,2.9,2.44,1917.20479715,41.1565511,0.917204797144,344.2,0.760986799168,0.821032522677
111,csx_adj,122.0,3.38,3.22,1858.11477667,20.853552,0.858114776675,311.0,0.955016184074,0.819718772209
382,rost_adj,138.0,2.96,2.54,2005.42607813,30.5999731,1.00542607813,427.6,0.672892728509,0.802951952677
361,pru_adj,210.0,3.26,3.26,1734.52930569,40.82329,0.73452930569,190.0,1.36842105263,0.800362917493
316,nem_adj,274.0,2.78,3.02,1916.74389409,16.641883,0.916743894094,373.8,0.695569892473,0.79450417628
388,schw_adj,278.0,2.94,3.02,1730.28702132,16.1841616,0.730287021318,197.5,1.31666237299,0.787699867237
24,alb_adj,106.0,3.14,3.16,1991.68658169,45.414288,0.991686581686,470.0,0.553191489362,0.764955496916
314,ndaq_adj,27.0,2.98,2.92,2335.08765215,35.3852717,1.33508765215,697.2,0.391038245993,0.748418155405
160,etfc_adj,202.0,2.94,2.86,2046.43288786,15.1770009,1.04643288786,400.4,1.02735150281,0.740404392155
25,alk_adj,268.0,2.58,2.52,1628.57010999,34.8598702,0.62857010999,120.5,2.16000797136,0.736030993407
7,adbe_adj,77.0,3.16,2.16,2364.34863214,70.0400025,1.36434863214,659.0,0.544450001481,0.73509697017
397,snps_adj,234.0,2.62,2.94,1743.40009236,30.130005,0.743400092361,276.0,0.942028985507,0.729816593966
59,bcr_adj,15.0,3.1,2.42,2702.87071085,187.2242925,1.70287071085,899.1,0.297613539014,0.726707195606
47,avgo_adj,135.0,3.18,1.98,1795.77915619,87.3466718,0.795779156191,339.9,0.766970100168,0.725607341652
44,arnc_adj,114.0,3.0,3.1,1701.44015083,10.9831572,0.701440150836,229.4,1.49626974595,0.723257165601
370,rai_adj,22.0,3.36,2.28,2560.26776713,32.1088601,1.31812316005,663.9,0.453508128622,0.723158029783
82,celg_adj,56.0,3.32,2.76,1889.12524101,61.5930005,0.795161660153,351.7,0.742668294413,0.717759590474
45,atvi_adj,63.0,2.96,2.78,2020.99261718,20.7446963,1.02099261718,416.1,0.832275518321,0.717692730236
12,adsk_adj,266.0,2.6,2.76,1769.83059826,35.542997,0.769830598262,321.6,0.808461146173,0.717425307176
54,bac_adj,274.0,3.4,3.08,1682.46612942,9.0282966,0.68246612942,222.7,1.16752799284,0.711634412321
378,rjf_adj,226.0,3.02,3.38,1667.17755315,28.1624301,0.667177553148,205.6,1.26461638646,0.708844960529
326,ntap_adj,274.0,2.08,2.82,1655.7748733,14.1832348,0.655774873299,177.5,1.56804997453,0.707822272017
183,fmc_adj,210.0,3.02,3.36,1834.85263253,32.7525102,0.83485263253,405.3,0.641518112328,0.706443567445
53,ba_adj,280.0,3.0,3.1,1709.24241392,76.2095454,0.709242413922,268.4,0.969090909091,0.703190989666
28,amat_adj,253.0,2.84,2.66,1655.31074462,9.6905542,0.655310744618,198.3,1.31764553034,0.700616586579
120,dal_adj,122.0,2.58,3.1,2008.20778121,20.2500332,1.0082077812,399.4,2.59240167865,0.698929292921
434,txn_adj,238.0,2.66,2.2,1674.93255596,28.23884,0.674932555956,231.0,1.12554112554,0.696832559038
342,pcln_adj,213.0,2.36,2.82,1895.54610582,777.9580199,0.686310295408,248.2,1.12120854655,0.69327339471
327,ntrs_adj,278.0,3.3,3.14,1653.08515621,34.8525391,0.653085156211,206.5,1.25981858054,0.692119665306
374,rf_adj,260.0,3.2,3.4,1649.93456728,4.7767162,0.64993456728,203.2,1.27953250266,0.691419885515
328,nue_adj,207.0,3.04,3.0,1700.48211793,24.9212464,0.700482117923,268.8,1.00289746738,0.686155957316
299,mo_adj,78.0,3.06,2.76,1911.16442592,26.8767889,0.911164425916,511.3,0.509709278426,0.683399899145
178,fitb_adj,268.0,3.34,3.32,1642.14820744,9.777251,0.642148207443,207.0,1.25603864734,0.679781892398
202,gt_adj,186.0,2.54,3.1,1606.19948249,11.8241837,0.606199482492,153.0,1.6996084434,0.679445721177
258,kss_adj,168.0,3.0,2.68,1593.20576857,19.8905317,0.593205768574,131.9,1.976094087,0.679407690285
286,mchp_adj,120.0,3.32,2.86,1972.34119791,36.199869,0.97234119791,586.0,0.443686006826,0.673462222593
238,isrg_adj,210.0,3.0,2.7,1777.94002514,358.0209961,0.777940025134,393.6,0.660574393529,0.672096875773
123,dfs_adj,240.0,3.18,3.24,1640.93396952,27.9930116,0.640933969518,218.6,1.18940783987,0.669759515212
117,cvx_adj,280.0,2.26,3.18,1713.17750103,47.7521559,0.713177501035,327.0,0.795150607865,0.663692391669
29,amd_adj,48.0,3.08,2.94,1857.91308404,1.68,0.580043536338,123.9,9.57985748462,0.660477807383
109,crm_adj,262.0,2.1,2.48,1545.01389908,29.4580007,0.545013899075,75.1,3.46234702235,0.65888583538
474,xec_adj,185.0,2.18,3.16,1835.06431109,60.471667,0.615959721682,193.3,1.37994382167,0.658857448239
269,lnc_adj,250.0,3.1,3.34,1624.46016235,23.676919,0.624460162346,211.4,1.23121887004,0.656686378036
35,amzn_adj,181.0,3.22,2.12,1627.01054763,184.9299984,0.627010547634,201.6,1.58518941351,0.656514515235
154,eqix_adj,39.0,2.98,3.06,2424.08419907,234.2563488,0.832068520965,436.8,0.648537178432,0.655088371006
330,nwl_adj,236.0,2.88,2.26,1566.38330343,19.2674152,0.566383303424,124.9,2.08737295918,0.651538815294
404,sti_adj,284.0,2.82,3.4,1607.09255296,19.2455248,0.607092552955,194.4,1.33747128893,0.649680157189
309,mtd_adj,140.0,3.22,2.7,2062.08505286,238.300018,1.06208505286,710.0,0.366197183099,0.64610980481
302,mpc_adj,234.0,2.16,3.32,1624.80605086,19.5723406,0.62480605086,231.7,1.13524977357,0.642784113785
205,has_adj,39.0,3.1,2.28,2189.99509905,51.6157721,1.18999509906,783.7,0.350159793527,0.640377407689
363,psx_adj,238.0,3.04,3.24,1593.95852969,33.053377,0.593958529686,203.2,1.27953250266,0.628884356111
